CommBench Pro Test Report
Generated: 2026-07-10T16:17:36.680
Mode: TCP Network
Config: 172.16.32.231:10160

Summary
Total Sent: 394
Success Received: 394
Lost Packets: 0
Success Rate: 100.00%
Average Elapsed: 40.39 ms
Min Elapsed: 13 ms
Max Elapsed: 108 ms

Packet Details
ID,SentAt,ReceivedAt,ElapsedMs,Status,TX,RX
41,2026-07-10T16:11:43.248,2026-07-10T16:11:43.282,33,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
42,2026-07-10T16:11:44.248,2026-07-10T16:11:44.273,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
43,2026-07-10T16:11:45.244,2026-07-10T16:11:45.272,28,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
44,2026-07-10T16:11:46.245,2026-07-10T16:11:46.267,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
45,2026-07-10T16:11:47.248,2026-07-10T16:11:47.271,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
46,2026-07-10T16:11:48.247,2026-07-10T16:11:48.270,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
47,2026-07-10T16:11:49.246,2026-07-10T16:11:49.267,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
48,2026-07-10T16:11:50.244,2026-07-10T16:11:50.267,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
49,2026-07-10T16:11:51.242,2026-07-10T16:11:51.263,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
50,2026-07-10T16:11:52.247,2026-07-10T16:11:52.272,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
51,2026-07-10T16:11:53.248,2026-07-10T16:11:53.274,27,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
52,2026-07-10T16:11:54.246,2026-07-10T16:11:54.270,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
53,2026-07-10T16:11:55.248,2026-07-10T16:11:55.274,25,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
54,2026-07-10T16:11:56.246,2026-07-10T16:11:56.271,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
55,2026-07-10T16:11:57.248,2026-07-10T16:11:57.272,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
56,2026-07-10T16:11:58.248,2026-07-10T16:11:58.278,30,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
57,2026-07-10T16:11:59.242,2026-07-10T16:11:59.272,30,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
58,2026-07-10T16:12:00.248,2026-07-10T16:12:00.274,25,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
59,2026-07-10T16:12:01.248,2026-07-10T16:12:01.275,27,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
60,2026-07-10T16:12:02.244,2026-07-10T16:12:02.269,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
61,2026-07-10T16:12:03.247,2026-07-10T16:12:03.270,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
62,2026-07-10T16:12:04.247,2026-07-10T16:12:04.268,21,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
63,2026-07-10T16:12:05.248,2026-07-10T16:12:05.274,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
64,2026-07-10T16:12:06.247,2026-07-10T16:12:06.269,21,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
65,2026-07-10T16:12:07.244,2026-07-10T16:12:07.266,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
66,2026-07-10T16:12:08.247,2026-07-10T16:12:08.269,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
67,2026-07-10T16:12:09.248,2026-07-10T16:12:09.275,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
68,2026-07-10T16:12:10.245,2026-07-10T16:12:10.267,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
69,2026-07-10T16:12:11.249,2026-07-10T16:12:11.271,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
70,2026-07-10T16:12:12.247,2026-07-10T16:12:12.275,28,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
71,2026-07-10T16:12:13.247,2026-07-10T16:12:13.270,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
72,2026-07-10T16:12:14.242,2026-07-10T16:12:14.268,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
73,2026-07-10T16:12:15.240,2026-07-10T16:12:15.263,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
74,2026-07-10T16:12:16.247,2026-07-10T16:12:16.272,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
75,2026-07-10T16:12:17.243,2026-07-10T16:12:17.274,31,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
76,2026-07-10T16:12:18.247,2026-07-10T16:12:18.275,28,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
